reason	mag_id_short	raw_label
failed_to_parse_protein_token	nan	GCA_000888735.1_ViralProj60053..HQ336222.2_785...MM16
failed_to_parse_protein_token	nan	GCA_002966195.1_ASM296619v1..MG779313.1_5...MM16
failed_to_parse_protein_token	nan	GCA_002966345.1_ASM296634v1..AP017644.1_784...MM16
failed_to_parse_protein_token	nan	GCA_002966435.1_ASM296643v1..KC008572.1_764...MM16
failed_to_parse_protein_token	nan	GCA_002966485.1_ASM296648v1..KY523104.1_1174...MM16
failed_to_parse_protein_token	nan	GCA_003814185.1_ASM381418v1..MK072455.1_8...MM16
failed_to_parse_protein_token	nan	GCA_004156275.1_ASM415627v1..MG807319.1_254...MM16
failed_to_parse_protein_token	nan	GCA_004156295.1_ASM415629v1..MG807320.1_234...MM16
