align_id	align_description	matched_label	group
PRGD_OTU357_otuREP_da7dbb5933e258e0d66e0e716ffa3cbe	PRGD_OTU357_otuREP_da7dbb5933e258e0d66e0e716ffa3cbe	PRGD_OTU357_otuREP_da7dbb5933e258e0d66e0e716ffa3cbe	cellular
PRGD_OTU126_00dd06b98ae27ae78f2ee1a6707cdbd4	PRGD_OTU126_00dd06b98ae27ae78f2ee1a6707cdbd4	PRGD_OTU126_00dd06b98ae27ae78f2ee1a6707cdbd4	cellular
PRGD_OTU356_otuREP_0895026ca93295a26feb00114fef0551	PRGD_OTU356_otuREP_0895026ca93295a26feb00114fef0551	PRGD_OTU356_otuREP_0895026ca93295a26feb00114fef0551	cellular
PRGD_OTU337_otuREP_e6a29f9d5f2c03056c9a8d84e76d5810	PRGD_OTU337_otuREP_e6a29f9d5f2c03056c9a8d84e76d5810	PRGD_OTU337_otuREP_e6a29f9d5f2c03056c9a8d84e76d5810	cellular
PRGD_OTU343_otuREP_52de4b947d596e5a888214ba0d1fd744	PRGD_OTU343_otuREP_52de4b947d596e5a888214ba0d1fd744	PRGD_OTU343_otuREP_52de4b947d596e5a888214ba0d1fd744	cellular
PRGD_OTU330_otuREP_62bcb7f3096ac403164690f08012a716	PRGD_OTU330_otuREP_62bcb7f3096ac403164690f08012a716	PRGD_OTU330_otuREP_62bcb7f3096ac403164690f08012a716	cellular
PRGD_OTU285_otuREP_9c837d1057f034f3636da82c09d44e19	PRGD_OTU285_otuREP_9c837d1057f034f3636da82c09d44e19	PRGD_OTU285_otuREP_9c837d1057f034f3636da82c09d44e19	cellular
Flavobacteria_BAL38_1101699887722_genome_NZ_AAXX01000005	Flavobacteria_BAL38_1101699887722_genome_NZ_AAXX01000005	Flavobacteria_BAL38_1101699887722_genome_NZ_AAXX01000005	cellular
clone_pop6_JX169795	clone_pop6_JX169795	clone_pop6_JX169795	cellular
443241923_339103_339864_Nonlabens_dokdonensis_DSW_6_proteorhodopsin_genome	443241923_339103_339864_Nonlabens_dokdonensis_DSW_6_proteorhodopsin_genome	443241923_339103_339864_Nonlabens_dokdonensis_DSW_6_proteorhodopsin_genome	cellular
489530960_54514_55245_Psychroflexus_gondwanensis_ACAM44_genome	489530960_54514_55245_Psychroflexus_gondwanensis_ACAM44_genome	489530960_54514_55245_Psychroflexus_gondwanensis_ACAM44_genome	cellular
RCC2397_Flavobacterium_JX863339	RCC2397_Flavobacterium_JX863339	RCC2397_Flavobacterium_JX863339	cellular
BOUM_OTU077_env_samples	BOUM_OTU077_env_samples	BOUM_OTU077_env_samples	cellular
Flavobacteria_frigoris_PS1_66_18_genome_AHKF01000018	Flavobacteria_frigoris_PS1_66_18_genome_AHKF01000018	Flavobacteria_frigoris_PS1_66_18_genome_AHKF01000018	cellular
RCC2399_Flavobacterium_JX863338	RCC2399_Flavobacterium_JX863338	RCC2399_Flavobacterium_JX863338	cellular
PRGD_OTU008b_e6e36ad96c982aa674bf388e39c023b5	PRGD_OTU008b_e6e36ad96c982aa674bf388e39c023b5	PRGD_OTU008b_e6e36ad96c982aa674bf388e39c023b5	cellular
PG16_Winogradskyella_AB557557	PG16_Winogradskyella_AB557557	PG16_Winogradskyella_AB557557	cellular
Dokdonia_donghaensis_PRO95_complete_FJ627053	Dokdonia_donghaensis_PRO95_complete_FJ627053	Dokdonia_donghaensis_PRO95_complete_FJ627053	cellular
SRX802202.75.fa.dc..contig_39965_32...MM01	SRX802202.75.fa.dc..contig_39965_32...MM01	SRX802202.75.fa.dc..contig_39965_32...MM01	viral
ERX552270.73.fa.dc..contig_150102_9...MM01	ERX552270.73.fa.dc..contig_150102_9...MM01	ERX552270.73.fa.dc..contig_150102_9...MM01	viral
SRX802202.64.fa.dc..contig_1847_78...MM01	SRX802202.64.fa.dc..contig_1847_78...MM01	SRX802202.64.fa.dc..contig_1847_78...MM01	viral
SRX802202.75.fa.dc..contig_1618_7...MM01	SRX802202.75.fa.dc..contig_1618_7...MM01	SRX802202.75.fa.dc..contig_1618_7...MM01	viral
SRX802202.55.fa.dc..contig_55307_44...MM01	SRX802202.55.fa.dc..contig_55307_44...MM01	SRX802202.55.fa.dc..contig_55307_44...MM01	viral
SRX802202.63.fa.dc..contig_36203_6...MM01	SRX802202.63.fa.dc..contig_36203_6...MM01	SRX802202.63.fa.dc..contig_36203_6...MM01	viral
SRX802202.149.fa.dc..contig_7999_44...MM01	SRX802202.149.fa.dc..contig_7999_44...MM01	SRX802202.149.fa.dc..contig_7999_44...MM01	viral
SRX802202.24.fa.dc..contig_6698_54...LP04	SRX802202.24.fa.dc..contig_6698_54...LP04	SRX802202.24.fa.dc..contig_6698_54...LP04	viral
ERX552270.114.fa.dc..contig_40016_10...MM01	ERX552270.114.fa.dc..contig_40016_10...MM01	ERX552270.114.fa.dc..contig_40016_10...MM01	viral
ERX552270.106.fa.dc..contig_1128_27...MM01	ERX552270.106.fa.dc..contig_1128_27...MM01	ERX552270.106.fa.dc..contig_1128_27...MM01	viral
ERX552270.38.fa.dc..contig_22176_17...MM05	ERX552270.38.fa.dc..contig_22176_17...MM05	ERX552270.38.fa.dc..contig_22176_17...MM05	viral
ERX552270.24.fa.dc..contig_15452_25...MM01	ERX552270.24.fa.dc..contig_15452_25...MM01	ERX552270.24.fa.dc..contig_15452_25...MM01	viral
ERX552270.62.fa.dc..contig_10622_21...MM01	ERX552270.62.fa.dc..contig_10622_21...MM01	ERX552270.62.fa.dc..contig_10622_21...MM01	viral
ERX552270.52.fa.dc..contig_2542_12...MM01	ERX552270.52.fa.dc..contig_2542_12...MM01	ERX552270.52.fa.dc..contig_2542_12...MM01	viral
ERX552270.65.fa.dc..contig_44471_14...MM01	ERX552270.65.fa.dc..contig_44471_14...MM01	ERX552270.65.fa.dc..contig_44471_14...MM01	viral
SRX803008.112.fa.dc..contig_136577_3...MM07	SRX803008.112.fa.dc..contig_136577_3...MM07	SRX803008.112.fa.dc..contig_136577_3...MM07	viral
MedHO102A5_env_samples_DQ203348	MedHO102A5_env_samples_DQ203348	MedHO102A5_env_samples_DQ203348	cellular
clone_S-S4OM-D12_DQ339369	clone_S-S4OM-D12_DQ339369	clone_S-S4OM-D12_DQ339369	cellular
clone_medN5_R8_5_DQ118961	clone_medN5_R8_5_DQ118961	clone_medN5_R8_5_DQ118961	cellular
clone_MEDa17r8_23_AY728898	clone_MEDa17r8_23_AY728898	clone_MEDa17r8_23_AY728898	cellular
JCVI_ORF_1112736868967_GS123_Open_Ocean_3m	JCVI_ORF_1112736868967_GS123_Open_Ocean_3m	JCVI_ORF_1112736868967_GS123_Open_Ocean_3m	cellular
SAR324_cluster_JCVI_SC_AAA005_ctg_1024_genome_NZ_AGAU01000412	SAR324_cluster_JCVI_SC_AAA005_ctg_1024_genome_NZ_AGAU01000412	SAR324_cluster_JCVI_SC_AAA005_ctg_1024_genome_NZ_AGAU01000412	cellular
MALINA_OTU13_164_Q_env_samples_JX863173	MALINA_OTU13_164_Q_env_samples_JX863173	MALINA_OTU13_164_Q_env_samples_JX863173	cellular
MALINA_OTU02_078_Q_env_samples_JX863115	MALINA_OTU02_078_Q_env_samples_JX863115	MALINA_OTU02_078_Q_env_samples_JX863115	cellular
IMCC2047_Gammaproteobacteria_NZ_AEGL01000596	IMCC2047_Gammaproteobacteria_NZ_AEGL01000596	IMCC2047_Gammaproteobacteria_NZ_AEGL01000596	cellular
JCVI_ORF_1105165732638_GS031_Coastal_upwelling_12m	JCVI_ORF_1105165732638_GS031_Coastal_upwelling_12m	JCVI_ORF_1105165732638_GS031_Coastal_upwelling_12m	cellular
JCVI_ORF_1105095563142_GS012_Estuary_14m	JCVI_ORF_1105095563142_GS012_Estuary_14m	JCVI_ORF_1105095563142_GS012_Estuary_14m	cellular
JCVI_ORF_1105128143384_GS001c_Open_Ocean_5m	JCVI_ORF_1105128143384_GS001c_Open_Ocean_5m	JCVI_ORF_1105128143384_GS001c_Open_Ocean_5m	cellular
CE_C_4B15_env_samples_GU338846	CE_C_4B15_env_samples_GU338846	CE_C_4B15_env_samples_GU338846	cellular
RCC2398_Glaciecola_JX863347	RCC2398_Glaciecola_JX863347	RCC2398_Glaciecola_JX863347	cellular
SCGC_AAA278C16_Deltaproteobacteria_HQ663815	SCGC_AAA278C16_Deltaproteobacteria_HQ663815	SCGC_AAA278C16_Deltaproteobacteria_HQ663815	cellular
PRGD_OTU009_6570c0be8847f127aeabaf4c718456a6	PRGD_OTU009_6570c0be8847f127aeabaf4c718456a6	PRGD_OTU009_6570c0be8847f127aeabaf4c718456a6	cellular
PRGD_OTU134_b6482f13acb5bc9fd2f792755dc00efa	PRGD_OTU134_b6482f13acb5bc9fd2f792755dc00efa	PRGD_OTU134_b6482f13acb5bc9fd2f792755dc00efa	cellular
PRGD_OTU005b_a3d410618174236e457afc66c7cb47cf	PRGD_OTU005b_a3d410618174236e457afc66c7cb47cf	PRGD_OTU005b_a3d410618174236e457afc66c7cb47cf	cellular
Vibrio_campbellii_BAA-1116_FJ985782	Vibrio_campbellii_BAA-1116_FJ985782	Vibrio_campbellii_BAA-1116_FJ985782	cellular
JCVI_ORF_1105113525046_GS047_Open_Ocean_30m	JCVI_ORF_1105113525046_GS047_Open_Ocean_30m	JCVI_ORF_1105113525046_GS047_Open_Ocean_30m	cellular
Gammaproteobacterium_IMCC3088_ctg_87_WGS_AEIG01000085	Gammaproteobacterium_IMCC3088_ctg_87_WGS_AEIG01000085	Gammaproteobacterium_IMCC3088_ctg_87_WGS_AEIG01000085	cellular
clone_med-50m-d5_DQ422396	clone_med-50m-d5_DQ422396	clone_med-50m-d5_DQ422396	cellular
JCVI_ORF_1105107424408_GS033_Hypersaline_1m	JCVI_ORF_1105107424408_GS033_Hypersaline_1m	JCVI_ORF_1105107424408_GS033_Hypersaline_1m	cellular
JCVI_ORF_1105158946784_GS008_Coastal_1m	JCVI_ORF_1105158946784_GS008_Coastal_1m	JCVI_ORF_1105158946784_GS008_Coastal_1m	cellular
JCVI_ORF_1105095743290	JCVI_ORF_1105095743290	JCVI_ORF_1105095743290	cellular
EB0_39F01_genomic_EF089398	EB0_39F01_genomic_EF089398	EB0_39F01_genomic_EF089398	cellular
JCVI_ORF_1105159010380	JCVI_ORF_1105159010380	JCVI_ORF_1105159010380	cellular
JCVI_ORF_1105100884556_GS029_Coastal_3m	JCVI_ORF_1105100884556_GS029_Coastal_3m	JCVI_ORF_1105100884556_GS029_Coastal_3m	cellular
PRGD_OTU215_7e0b0020bfbe844f7e32f0d2fac879ad	PRGD_OTU215_7e0b0020bfbe844f7e32f0d2fac879ad	PRGD_OTU215_7e0b0020bfbe844f7e32f0d2fac879ad	cellular
PRGD_OTU188_825a4178f52245de9b918478b5989f04	PRGD_OTU188_825a4178f52245de9b918478b5989f04	PRGD_OTU188_825a4178f52245de9b918478b5989f04	cellular
PRGD_OTU236_otuREP_2ad7c80d9e03de31add4a58077d88d0d	PRGD_OTU236_otuREP_2ad7c80d9e03de31add4a58077d88d0d	PRGD_OTU236_otuREP_2ad7c80d9e03de31add4a58077d88d0d	cellular
